,lyrics,class
157,说唱用的是嘴巴不是链子,10.1
158,没有链子 没有限制 只有偏执 只有面子,10.1
159,说要看清楚自己但是你的镜头前置,10.1
160,电视随便放什么我要看到现实,10.1
161,不当骗子 长好见识 棺材里的歌不变质,10.1
162,我的手里放块冰 高烧着脑门爆青筋,10.1
163,汗滴禾下土 疑是窗前的星星,10.1
164,体温三十八度七 时速二百一十一,10.1
165,右脚踩下油门 引擎温度超金星,10.1
166,你提问“到哪里去 我们故事在哪里叙,10.1
167,今夜同好在哪里聚 几星级的礼遇”,10.1
168,我举手打住你 飙着肾上腺素 烧卡路里,10.1
169,过弯太急都没注意 身后已有警灯亮起,10.1
170,一种豺狼 披着 不同种类的皮,10.1
171,我脑中浮现出 你告诉我 解决不了的迷,10.1
172,好为人师的假绅士总是擅自装先知,10.1
173,道德绑架人质的你 贪吃贪吃,10.1
174,但我从不服从安置 而燕雀安知 鸿鹄之志,10.1
175,写史诗 我的歌词靠知识,10.1
176,我的计划不搁置 打开车门的警报,10.1
177,看你是否真的敢为理想殉道,10.1
178,及格我一百你六十 我熊市是你的牛市,10.1
179,我洗掉你这块油渍 我生活是我的缪斯,10.1
180,我只在不惑里求知 请叫我普罗米修斯,10.1
181,我给你开电梯门进来楼层不要比我低,10.1
182,Back to back 我在 火灾 现场安全着陆,10.1
183,熟透的flow 声色不露 的gold mode 等待XZT drop the bomb,10.1
184,我对神敬仰有信仰 不是muslin or monk,10.1
185,物质不令我迷茫 歌词不复制 是原创,10.1
186,不用任何人护着 不和fakers穿一条裤子,10.1
187,讲究真实不讲故事 回头看墙壁上的数字,10.1
188,Chuck Zigga Jiang超级 讲义气 Feezy不回忆,10.1
189,King XZT硬着头皮 身处这个游戏,10.1
190,拿出手机 放几首SFG的diss,10.1
191,说唱用的是嘴巴不是链子,10.1
192,没有链子 没有限制 只有偏执 只有面子,10.1
193,说要看清楚自己但是你的镜头前置,10.1
194,电视随便放什么我要看到现实,10.1
195,不当骗子 长好见识 棺材里的歌不变质,10.1
716,lie to my self 这都只是演戏,10.1
717,我还该怎么叫 才能更完美演绎,10.1
718,就像这死沉的天气 我躲到地狱的边际,10.1
719,我开始对开心免疫你先往前走让我给你垫底,10.1
720,你要知道我是真的很卖力,10.1
721,我猜你可能因为我总这样嫌太腻,10.1
722,可是你在我的世界没人能代替,10.1
723,你要离开我也不会奇怪 没人能够怪你,10.1
724,他们总说恋爱的人少了一些心机,10.1
725,却不知哪里多了几分细腻,10.1
726,他们总说你曾经一直保持着神秘,10.1
727,现在似乎变得比较有趣,10.1
728,他们总说,10.1
729,早晨起来你会分享首歌,10.1
730,无论晴天雨天只想谈谈你的心得,10.1
731,说说你经历的坎坷,10.1
