腿 搁在办公桌上,办公桌
这五六分钟我只关心说唱,说唱
大脑像硬币投进的湖里的波浪激荡,投进
如果你们智商170和我一样,智商
耳边的铃铛 晶晶亮 轻轻唱 interesting的声音记在了心上,晶晶亮
倒掉这鸡汤 错的路走几趟 开心难过换来换去像是在打乒乓,换来换去
叮当猫口袋里频临乓啷在响 不像一无所有的人只好拿出了抢,频临
bang bang 什么东西不能用道理讲 man down 谁站出来说他还有理想,理想
这景象 让我联想 我的思路像是蜻蜓 在飞行 听不到你演讲,蜻蜓
我拼命地前行 不断遇到瓶颈 全程保持清醒 时刻准备面对劲敌,劲敌
把事情办到 懒得跟你探讨 省着我的弹药 不叽叽喳喳,办到
嘻嘻哈哈 爸爸妈妈不喜欢嘻哈 不喜欢我说脏话,喜欢
但脏话的背后是真实的揭露 跟上这节奏和生活邂逅,脏话
关于这个时空 维度不只时钟 做了一个梦里碰到一个神对那个秘密精通,维度
群居动物 韵律和音乐 所以人都会孤独 革命和鲜血,群居动物
千真万确的不千真万确 欢迎来到这个不确定的世界,欢迎
不相信这一切 是全部的一切 渴望真相的心特别炽烈,渴望
尽管早晚 都会凋谢 尽管没有希望还是要去了解,凋谢
所有的 理由,理由
所有的 低头,低头
所有的 意犹 未尽
所有的 垂头 丧气,垂头
像zombie 下象棋 趁你情敌 把你将军,下象棋
所有的输赢 在刹那的决定,输赢
所有的决定 都是注定,注定
所有的fans跟着伴奏 穿着yoga pants来战斗,伴奏
女孩都爱Chuck Zigga Jiang他的汗臭 XZT渐快渐慢的flow,汗臭
让你颤抖,颤抖
Hype it up hates怕 倒吸口冷气 把我们比作了2 pac and biggie,倒吸
Feezy这场休息 看场好戏 SFG在夏季的ending迎来新的胜利,好戏
iPhone7 能防水不怕他们pussy get wetter,防水
我比你厉害但我不consider you any lesser
海尔兄弟上了pigeons&planes 全世界都听到中国嘻哈,全世界
奥运会上傅园慧告诉全世界她那天来了大姨夫,傅园慧
yeezy要卖桌子你们不是队要排到那一家宜家,宜家
70万的listen 还要怪直火帮出钱买了网易吗,直火
有点痛又叫的我的耳膜有点懵,有点痛
洋迷她 电影我一部都没看过也不知她到底整没整容,洋迷
长期假 然后实在假不下去了直接注销微信以为还能玩失踪,微信
所有的 理由,理由
所有的 低头,低头
所有的 意犹 未尽
所有的 垂头 丧气,垂头
像zombie 下象棋 趁你轻敌 把你将军,下象棋
所有的输赢 在刹那的决定,输赢
所有的决定 都是注定,注定
所有的fans跟着伴奏 穿着yoga pants来战斗,伴奏
女孩都爱Chuck Zigga Jiang他的汗臭 XZT渐快渐慢的flow,汗臭
让你颤抖,颤抖
Hype it up hates怕 倒吸口冷气 把我们比作了2 pac and biggie,倒吸
Feezy这场休息 看场好戏 SFG在夏季的ending迎来新的胜利,好戏
我只想笑着 把生活当做一场游戏,当做
下次遇到你会是第几个月的星期几,遇到
我不会像曾经一样为别人而脱衣,脱衣
我丢失了棉被,棉被
能换回几个枕头,换回
就算荣华富贵,荣华富贵
也没法隔夜仇,没法
感谢用心教育深刻教训 让我完全蜕变,蜕变
没法睡 not on the track,没法
害怕没人能满足你想要的滋味,滋味
何况你心那么脆
那位枪手目标定格了 两点一线,定格
有些话在说出口之前需要面对面,出口
时间改正我的善变面对你不是演员,善变
最好的弥补暗地陪在你身边 多花时间,暗地
don’t worry第二个保护你的我在床前,保护
don’t worry给我机会才能满足你心愿,心愿
don’t worry别把我推倒你世界边缘,推倒
不想看到 那个他牵你的手 搭你的肩,不想
我想做你 特别的人 特别的事 特别的他
我想给你 特别的家 特别的花 去特别的pa
说真的你是特别的你 在成都带不走的 也只有你,成都
我只想笑着 把生活当做一场游戏,当做
下次遇到你会是第几个月的星期几,遇到
我不会像曾经一样为别人而脱衣,脱衣
我丢失了棉被,棉被
能换回几个枕头,换回
就算荣华富贵,荣华富贵
也没法隔夜仇,没法
记忆深刻美丽的回想 别当做过去,回想
可能我选择喧嚣 你喜欢静谧,静谧
我会拼命哈艘给予最好并不选择放弃,拼命
我会努力,我会
这样你才能靠我肩膀,肩膀
我会努力,我会
才能创造我的乐器厂,乐器厂
我在虚幻的梦里 等待小仙女的降临,虚幻
不用讲什么道理 岁数这些不是问题,岁数
护花是我的使命 骗过许多的少女,护花
对你说声对不起 要怪 怪这短暂的生命,要怪
我想和你去海滩 看心急如焚的鲨鱼,鲨鱼
去逛逛街头灯火阑珊 再和你去吃路边摊,路边摊
都怪我趁虚而入 让画风格格不入,画风
从南到北的路 你给了我最后归宿,归宿
当我知道以后陪我不是你,知道
我只想笑着 把生活当做一场游戏,当做
下次遇到你会是第几个月的星期几,遇到
