lyric,topic
腿 搁在办公桌上,diss
这五六分钟我只关心说唱,diss
大脑像硬币投进的湖里的波浪激荡,diss
如果你们智商170和我一样,diss
耳边的铃铛 晶晶亮 轻轻唱 interesting的声音记在了心上,diss
倒掉这鸡汤 错的路走几趟 开心难过换来换去像是在打乒乓,diss
叮当猫口袋里频临乓啷在响 不像一无所有的人只好拿出了抢,diss
bang bang 什么东西不能用道理讲 man down 谁站出来说他还有理想,diss
这景象 让我联想 我的思路像是蜻蜓 在飞行 听不到你演讲,diss
我拼命地前行 不断遇到瓶颈 全程保持清醒 时刻准备面对劲敌,diss
把事情办到 懒得跟你探讨 省着我的弹药 不叽叽喳喳,diss
嘻嘻哈哈 爸爸妈妈不喜欢嘻哈 不喜欢我说脏话,diss
但脏话的背后是真实的揭露 跟上这节奏和生活邂逅,diss
关于这个时空 维度不只时钟 做了一个梦里碰到一个神对那个秘密精通,diss
群居动物 韵律和音乐 所以人都会孤独 革命和鲜血,diss
千真万确的不千真万确 欢迎来到这个不确定的世界,diss
不相信这一切 是全部的一切 渴望真相的心特别炽烈,diss
尽管早晚 都会凋谢 尽管没有希望还是要去了解,diss
所有的 理由,失败
所有的 低头,失败
所有的 意犹 未尽,失败
所有的 垂头 丧气,失败
像zombie 下象棋 趁你情敌 把你将军,diss
所有的输赢 在刹那的决定,diss
所有的决定 都是注定,diss
所有的fans跟着伴奏 穿着yoga pants来战斗,diss
女孩都爱Chuck Zigga Jiang他的汗臭 XZT渐快渐慢的flow,diss
让你颤抖,diss
Hype it up hates怕 倒吸口冷气 把我们比作了2 pac and biggie,diss
Feezy这场休息 看场好戏 SFG在夏季的ending迎来新的胜利,diss
iPhone7 能防水不怕他们pussy get wetter,diss
我比你厉害但我不consider you any lesser,diss
海尔兄弟上了pigeons&planes 全世界都听到中国嘻哈,diss
奥运会上傅园慧告诉全世界她那天来了大姨夫,diss
yeezy要卖桌子你们不是队要排到那一家宜家,diss
70万的listen 还要怪直火帮出钱买了网易吗,diss
有点痛又叫的我的耳膜有点懵,diss
洋迷她 电影我一部都没看过也不知她到底整没整容,diss
长期假 然后实在假不下去了直接注销微信以为还能玩失踪,diss
我只想笑着 把生活当做一场游戏,diss
最好的弥补暗地陪在你身边 多花时间,青春
don’t worry第二个保护你的我在床前,青春
don’t worry给我机会才能满足你心愿,青春
don’t worry别把我推倒你世界边缘,青春
不想看到 那个他牵你的手 搭你的肩,青春
我想做你 特别的人 特别的事 特别的他,青春
我想给你 特别的家 特别的花 去特别的pa,青春
说真的你是特别的你 在成都带不走的 也只有你,青春
记忆深刻美丽的回想 别当做过去,努力
可能我选择喧嚣 你喜欢静谧,努力
我会拼命哈艘给予最好并不选择放弃,努力
我会努力,努力
这样你才能靠我肩膀,努力
我会努力,努力
才能创造我的乐器厂,努力
我在虚幻的梦里 等待小仙女的降临,努力
不用讲什么道理 岁数这些不是问题,努力
护花是我的使命 骗过许多的少女,失恋
对你说声对不起 要怪 怪这短暂的生命,失恋
我想和你去海滩 看心急如焚的鲨鱼,失恋
去逛逛街头灯火阑珊 再和你去吃路边摊,失恋
都怪我趁虚而入 让画风格格不入,失恋
从南到北的路 你给了我最后归宿,失恋
当我知道以后陪我不是你,失恋
让心休假也不收下你,失恋
我可以彻夜不归交我想交的朋友,失恋
把你相框移开摆满我最爱喝的红酒,失恋
在家里开趴night till the morning,失恋
讲真的没有你生活也不会boring,失恋
我再也不会优柔寡断处理关系若即若离,失恋
让你成为我人生满分答卷的一道错题,失恋
自从你走以后,失恋
还赖着不肯离开的回忆gets old,失恋
我只在乎我自己过的开心与否,失恋
与酒与你都无关,失恋
没有遗憾 我总得向前走,失恋
这故事中有一段 是你和我联手,失恋
因为太繁华的夜晚让你整晚都无法入眠,失恋
你不想昙花一现就和梦境说再见,失恋
自信是你的行李,兄弟
让你定义概念,兄弟
你从未放弃,兄弟
在每个难眠的夜,兄弟
你还在途中,兄弟
但现在你不再孤单,兄弟
你需要FRESH TAPE,兄弟
陪伴你整个夜晚,兄弟
红黄绿三种颜色,兄弟
你知道什么是代表前进,兄弟
竭尽你所能重生在这绝境,兄弟
就是我存在的证据,兄弟
有你们在我飞行脱离重力,兄弟
这首歌给我兄弟,兄弟
要重情重义,兄弟
终于可以在这给你动力,兄弟
黎明的黑暗,兄弟
让你觉得孤单,兄弟
黑暗的一切,兄弟
让自信生灵涂炭,兄弟
我还在唱,兄弟
我想我也可以更棒,兄弟
就算是没人在听我也可以配唱,兄弟
如果在生命开始时让我再次选择,兄弟
我一样坚持我的音乐我的饶舌,diss
一样叫YJ,diss
让loser往后排队,diss
你一样可以做到,diss
做你自己才对,diss
当你感到累了觉得无力感到困,diss
当你不再愿意相信别人只有恨,diss
我只能怀疑,diss
你是不是个real man,diss
我想你仔细看看面前这个real friend,diss
他比你更倒霉,diss
比你更值得去憎恨,diss
他过去稚嫩但现在更想认真,diss
伤口不会消除,虚伪
它只会更深,虚伪
但微笑可以保持,虚伪
比曾经更真,虚伪
你是否感觉到寒冷 他们都对你残忍,虚伪
都是凡人 得不到上帝的蓝本,虚伪
总有人觉得自己是完人落入凡尘,虚伪
把你当传人 传教你怎么走出寒门,虚伪
你可以说你从来不为得到谁的认可,虚伪
但从来不是你自己来区分败者胜者,虚伪
真的认了 不会再费力呼喊 这英雄孤胆,虚伪
布满 陷阱要过该怎么铺满,虚伪
手指手势 都在仇视丑事 无论投资投食 ok goes both,虚伪
都有深度 都深入 撑住利益的分布,虚伪
我经历太早但我精力太好,虚伪
我心地太好但不轻易败倒,虚伪
说唱用的是嘴巴不是链子,讨厌
没有链子 没有限制 只有偏执 只有面子,讨厌
说要看清楚自己但是你的镜头前置,讨厌
电视随便放什么我要看到现实,讨厌
不当骗子 长好见识 棺材里的歌不变质,讨厌
我的手里放块冰 高烧着脑门爆青筋,讨厌
汗滴禾下土 疑是窗前的星星,讨厌
体温三十八度七 时速二百一十一,讨厌
右脚踩下油门 引擎温度超金星,讨厌
你提问“到哪里去 我们故事在哪里叙,讨厌
今夜同好在哪里聚 几星级的礼遇”,讨厌
我举手打住你 飙着肾上腺素 烧卡路里,讨厌
过弯太急都没注意 身后已有警灯亮起,讨厌
一种豺狼 披着 不同种类的皮,讨厌
我脑中浮现出 你告诉我 解决不了的迷,讨厌
好为人师的假绅士总是擅自装先知,讨厌
道德绑架人质的你 贪吃贪吃,讨厌
但我从不服从安置 而燕雀安知 鸿鹄之志,讨厌
写史诗 我的歌词靠知识,讨厌
我的计划不搁置 打开车门的警报,讨厌
看你是否真的敢为理想殉道,讨厌
及格我一百你六十 我熊市是你的牛市,讨厌
我洗掉你这块油渍 我生活是我的缪斯,讨厌
我只在不惑里求知 请叫我普罗米修斯,讨厌
我给你开电梯门进来楼层不要比我低,讨厌
Back to back 我在 火灾 现场安全着陆,讨厌
熟透的flow 声色不露 的gold mode 等待XZT drop the bomb,讨厌
我对神敬仰有信仰 不是muslin or monk,讨厌
物质不令我迷茫 歌词不复制 是原创,讨厌
不用任何人护着 不和fakers穿一条裤子,讨厌
讲究真实不讲故事 回头看墙壁上的数字,讨厌
Chuck Zigga Jiang超级 讲义气 Feezy不回忆,讨厌
King XZT硬着头皮 身处这个游戏,讨厌
拿出手机 放几首SFG的diss,讨厌
说唱用的是嘴巴不是链子,讨厌
没有链子 没有限制 只有偏执 只有面子,讨厌
说要看清楚自己但是你的镜头前置,讨厌
电视随便放什么我要看到现实,讨厌
不当骗子 长好见识 棺材里的歌不变质,讨厌
说爱你 爱你 在一起 就go with u,爱情
说真的 真的 marry me  oh  my super nice girl  x2,爱情
很开心睁开双眼看到她在我的怀里,爱情
我只想安静的看着她 真的离不开你,爱情
这样动都能不想动 偷偷的被掌控,爱情
